0,4075
0,3166
0,815
0,1657
0,3016
0,2540
1,2473
1,1201
1,1216
1,2579
1,2016
1,2452
2,3687
2,2854
2,3548
2,3705
2,2335
2,4375
2,1556
2,2941
2,1825
2,4342
2,931
2,1448
2,4002
2,1480
3,4157
3,1437
3,4040
3,389
3,1942
3,288
3,4072
3,2318
4,2110
4,3226
4,1109
4,693
4,1786
4,4691
4,573
4,1406
5,4844
5,119
5,2012
5,4098
5,697
5,2094
5,3524
5,1874
5,3298
6,1363
6,3742
6,1645
6,4747
6,3039
6,1923
6,4579
6,3856
6,4176
6,2626
6,253
7,1079
7,57
7,3723
7,3105
7,2426
7,3172
7,981
7,4661
7,1780
7,2740
8,184
8,4646
8,37
8,2288
8,325
8,3089
8,1644
8,3962
8,4249
8,3506
8,1910
8,2024
8,4114
8,86
8,1119
9,955
9,4339
9,1200
9,802
9,1276
9,1056
10,1791
10,297
10,3305
10,3906
10,2760
10,2234
10,1658
10,1046
10,1848
10,1700
10,4356
10,4629
11,4718
11,4084
11,2461
11,3748
11,105
11,471
11,1296
11,3654
11,2798
11,246
11,746
12,4242
12,2624
12,2429
12,3722
12,1383
12,4685
12,1170
13,4511
13,2185
13,4270
13,2847
13,2904
13,1762
13,4452
13,54
13,776
13,3886
13,81
13,4184
13,2177
13,743
13,3024
14,3225
14,4200
14,3141
14,2245
14,3285
14,700
14,13
14,4179
14,3131
14,1391
14,2764
14,1680
14,1596
14,2743
15,1095
15,3886
15,1761
15,1292
15,2953
15,2187
15,2921
15,1662
15,2163
15,281
16,857
16,2935
16,1431
16,1449
16,663
17,2956
17,2209
17,4630
17,4528
17,1257
17,1965
17,4140
17,253
17,2191
17,3338
18,4636
18,1371
18,3458
18,4020
18,3203
18,1706
18,3569
18,4844
18,3971
18,3281
18,52
18,4003
18,185
18,4370
19,2937
19,4684
19,66
19,717
19,3729
19,2087
19,2697
19,3847
20,1363
20,4130
20,2459
20,599
20,430
20,471
20,2073
20,667
21,2645
21,4082
21,169
21,3202
21,1008
21,3856
21,4545
21,78
21,1136
21,931
21,3016
22,3639
22,1082
22,2740
22,2508
22,3427
22,2911
22,2159
22,134
22,4706
22,2195
22,2547
22,908
23,3309
23,650
23,1023
23,696
23,4036
23,3194
23,251
23,2522
23,4158
23,3997
23,2977
23,968
23,3716
23,888
23,4880
24,1353
24,240
24,4358
24,2736
24,2600
24,326
24,547
24,3116
24,3409
24,4522
25,2865
25,2632
25,152
25,1261
25,4
25,907
25,2052
25,4926
25,2598
25,2719
25,2434
26,3927
26,814
26,2305
26,4839
26,3292
26,2696
26,2095
26,338
27,4705
27,284
27,181
27,4553
27,585
27,2354
27,4449
27,1379
27,2066
28,3436
28,744
28,903
28,3364
28,3649
28,4152
28,2525
28,4032
28,1554
29,2827
29,1934
29,4372
29,2760
29,261
29,1288
30,2290
30,1672
30,4156
30,713
30,4267
30,4557
30,4115
30,3433
30,4792
30,2630
31,400
31,3387
31,1292
31,2892
31,4771
31,2009
32,1670
32,2014
32,3556
32,1400
32,151
32,1459
32,2137
32,3159
33,976
33,231
33,1116
33,2664
33,1212
33,2006
33,4744
33,1781
33,2744
34,1054
34,539
34,94
34,2095
34,1945
34,555
34,1801
34,699
34,3214
34,4916
34,4179
34,1455
34,1566
35,1829
35,962
35,574
35,2762
35,1477
35,3916
35,3990
35,4972
35,3135
35,446
35,788
35,4348
36,494
36,2681
36,2851
36,1041
36,505
36,2716
36,3610
36,4953
36,2762
36,652
37,519
37,2487
37,2545
37,2008
37,898
37,2588
37,3940
37,2107
37,1032
37,3806
37,4550
37,4101
38,418
38,4222
38,1130
38,4766
38,2311
38,2628
38,2486
38,3764
38,3618
39,4550
39,1722
39,2949
39,4709
39,2359
39,230
39,286
39,2990
40,1500
40,3238
40,1286
40,2350
40,3054
40,4409
40,2066
40,4863
40,3570
40,2483
40,905
41,2066
41,1418
41,131
41,3681
41,2534
41,4988
41,4884
41,4958
41,2410
41,4103
41,4401
41,1451
41,4890
42,97
42,3803
42,3062
42,3787
42,2666
42,2888
42,1922
42,1673
42,625
42,110
42,4352
42,3380
43,1379
43,1586
43,558
43,1620
43,1642
44,2025
44,4927
44,522
44,933
44,3308
44,3778
45,1316
45,4567
45,1759
45,4759
45,2005
45,2032
45,4272
45,1338
45,2813
45,3205
46,1910
46,565
46,1269
46,464
46,1685
46,3575
46,705
46,2145
46,4736
46,1921
46,343
47,1818
47,756
47,1469
47,4117
47,522
47,2960
47,4598
47,3945
47,4401
47,4394
47,1520
47,3567
48,4827
48,3235
48,4548
48,3621
48,135
49,2599
49,2258
49,1811
49,1280
49,3032
50,3452
50,288
50,2666
50,1156
50,2698
50,3500
50,1392
50,1338
50,4930
50,1393
50,2710
51,4353
51,3634
51,1108
51,242
51,3131
51,2386
51,3236
51,4357
51,2142
51,1056
51,1810
51,3333
52,258
52,4501
52,707
52,3726
52,93
52,3693
52,2842
53,4649
53,1490
53,1249
53,119
53,4315
53,3258
53,1187
54,4667
54,1640
54,3809
54,4718
54,988
54,2618
54,3982
54,4605
55,1665
55,3223
55,2232
55,1048
55,2500
55,2824
55,1915
55,2702
55,3734
55,2762
55,2050
55,4878
55,2339
55,3948
56,1398
56,1122
56,4530
56,1553
56,1310
56,2527
56,3432
56,4469
57,3124
57,1313
57,1858
57,3143
57,4472
57,1961
57,1878
58,2921
58,621
58,4348
58,3040
58,3567
58,811
58,1817
58,4905
58,2404
58,3471
58,3565
58,3497
58,3689
58,3060
58,2729
59,4650
59,393
59,1079
59,2469
59,576
59,1370
59,4729
59,3762
59,1270
59,2151
59,1674
59,4191
59,1123
59,3326
60,70
60,3442
60,1316
60,3667
60,779
60,1690
60,3882
60,3518
60,4335
60,4769
60,3494
61,4873
61,4338
61,2251
61,405
61,4275
61,3696
61,915
61,164
61,919
61,991
61,827
61,4862
61,4423
61,4916
61,3351
62,2272
62,204
62,1804
62,1502
62,2556
62,1337
62,1250
62,4275
62,34
62,4026
62,4028
62,3309
62,4511
62,4179
62,1133
63,4615
63,2093
63,3929
63,2300
63,1953
63,2378
63,4569
63,4149
63,4448
63,4403
63,3914
63,975
63,3465
63,3987
64,1648
64,481
64,602
64,4632
64,2541
65,3453
65,1421
65,1526
65,157
65,2981
65,4184
66,2839
66,1724
66,112
66,3574
66,1222
66,2142
66,1118
66,3505
66,2004
66,2015
66,2766
66,2605
67,3816
67,4602
67,764
67,3675
67,3222
67,4561
67,4017
68,2391
68,4280
68,3843
68,107
68,2646
68,1623
68,3521
68,1000
68,1224
68,4605
68,2494
68,686
68,4821
69,1146
69,4424
69,69
69,3925
69,3579
69,3724
69,3467
69,3338
69,470
69,3895
69,237
69,2063
69,493
69,1948
70,3640
70,1468
70,3933
70,1368
70,2067
70,3388
70,709
71,2343
71,4403
71,2328
71,2800
71,673
71,4423
71,3837
72,2795
72,1498
72,871
72,3968
72,1581
72,3710
72,4896
72,1471
72,549
72,2390
72,4796
72,1760
72,103
72,4675
73,3388
73,1823
73,1369
73,459
73,1968
73,1829
73,1263
74,4144
74,1994
74,148
74,1382
74,2847
74,2303
74,275
74,3582
74,4732
74,4754
74,198
74,1400
75,2449
75,3591
75,3845
75,555
75,4646
75,2043
75,719
75,2698
75,4741
75,607
75,4063
76,4997
76,1976
76,1184
76,1210
76,377
76,3385
76,2755
76,1516
76,115
76,2417
76,1944
76,2949
76,806
77,3168
77,4586
77,3286
77,738
77,4272
78,1128
